Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(Female),Symptoms (critical_stage),Medication (general),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers
,,,,,,,,,,,,,,Fact 6: Sugary food makes diarrhea worse,,,"Making sure meat and shellfish such as shrimp, crab, and scallops, are hot when served",,How do I use an ORS package?,"Packets of oral rehydration salts are widely available. To use one of these packets, mix the contents with 1 quart or liter of drinking water. If drinking water is not available, or if you are not sure the water is drinkable, boil the water for at least 10 minutes."
,,,,,,,,,,,,,,Fact 7: Fibre food may help,,,Not eating food from street vendors or food trucks,,How do I prepare an ORS solution at home?,"If ORS packets are not available, mix an oral rehydration solution using one of the following recipes; depending on ingredients and container availability:

Recipe for Making a 1 litre ORS solution using Sugar, Salt and Water

Clean Water - 1 litre - 5 cupfuls (each cup about 200 ml.)
Sugar - Six level teaspoons
Salt - Half level teaspoon
Stir the mixture till the sugar dissolves.                                                                             The home-made solution is adequate in most causes. If the diarrhoea is severe, ask your chemist for a special packet of Oral Rehydration Salts. Follow the instructions on the packet carefully. Drink sips of the ORS (or give the ORS solution to the conscious dehydrated person) every 5 minutes until urination becomes normal. (It's normal to urinate four or five times a day.) Adults and large children should drink at least 3 quarts or liters of ORS a day until they are well. If you are vomiting, continue to try to drink the ORS. Your body will retain some of the fluids and salts you need even though you are vomiting. Remember to take sips of liquids slowly. Chilling the ORS may help. If you have diarrhea, continue to drink the ORS. The fluids will not increase the diarrhea. Someone with symptoms of severe dehydration needs to go to an emergency room or other health care facility to get intravenous fluids (fluids given directly into the veins through a needle) if possible. If able to drink, he or she should also drink the ORS. During or after treatment of dehydration, whatever is causing the diarrhea, vomiting, or other symptoms should also be treated."
,,,,,,,,,,,,,,Fact 8: Coffee can make it worse,,,,,Can the ORS solution be made with dirty water?,"The benefits of fluid replacement in diarrhoea far outweigh the risks of using contaminated water to make oral rehydration solution. In situations where it is difficult to boil water, mothers are advised to use the cleanest water possible."
,,,,,,,,,,,,,,Fact 10: Yougurt may help reduce diarrhea,,,,,Can the ORS solution be stored?,"Generally a made-up solution should be covered and not kept for more than 24 hours, due to the risk of bacteriological contamination. Packets of ORS should be stored carefully and not kept in temperatures of over 30 degree C or in conditions of high humidity. Where the ingredients to make up ORS are being stored in bulk the glucose/sucrose should be kept apart from the rest of the dry ingredients. The new citrate formula ORS has a longer shelf life."
,,,,,,,,,,,,,,,,,,,Can ORS be used for everyone?,"ORS is safe and can be used to treat anyone suffering from diarrhoea, without having to make a detailed diagnosis before the solution is given. Adult need rehydration treatment as much as children, although children must always be treated immediately because they become dehydrated more quickly."
,,,,,,,,,,,,,,,,,,,What should be done if the child vomits?,"Vomiting does not usually prevent the therapy from being successful. Mothers must be taught to persist in giving ORS solution, even though this requires time and patience. They should give regular, small sips of fluid. Giving ORT reduces nausea and vomiting and restores the appetite through correction of acidosis and potassium losses."
,,,,,,,,,,,,,,,,,,,Should feeding continue at the same time as ORT?,"Feeding, especially breastfeeding, should be continued once dehydration has been corrected. Even if the diarrhoea continues or the child is vomiting, some of the nutrients are being absorbed. Suitable food should not be withheld, as the child may become malnourished. Once the diarrhoea episode has passed, the child should be given more food than usual to make up for losses during diarrhoea. Breastfeeding is particularly beneficial because breastmilk is easily digestible. It also contains protective substances which help to overcome the infection causing the diarrhoea."
,,,,,,,,,,,,,,,,,,,What sort of foods are good during diarrhoea?,"High energy foods such as fats, yogurt and cereals are quite well absorbed during diarrhoea. Small, frequent feeds of energy-rich local foods familiar to the child should be given. A little vegetable oil can be added to foods such as millet or rice to increase the energy content.

Foods high in potassium are important to restore the body's essential stores depleted during diarrhoea. Such foods include lentils, bananas, mangoes, pineapples, pawpaw, coconut milk and citrus fruits.
Certain foods should be avoided during diarrhoea, for example those containing a lot of fibre such as coarse fruits and vegetables, whole grain cereals and spicy foods.
It is very important to continue feeding a person with diarrhoea. Give soft, easy-to-digest foods, like khichri, watery dal, idlis, curd, bananas etc. You should also give plenty of other fluids, like nimbu pani, rice kanji, lassi, coconut water, weak tea etc. If the baby is being breast-fed, continue to give her mother's milk. Give an extra meal a day, after the diarrhoea stops, to help the body get strong again."
,,,,,,,,,,,,,,,,,,,Is it necessary to use drugs as well as ORT?,"In most cases, no. The diarrhoea will get all right by itself in a day or two. If there is any blood or mucous in the stools, any fever or vomiting, you must see the doctor immediately. Don't take any medicines yourself, It is important to follow the doctor's advice. You should also see the doctor if the child's condition gets worse or if there are any signs of dehydration. Drugs should not be used except in the most severe cases. Even then they should be administered with care, preferably after the organism causing the diarrhoea has been identified. Small children with dysentery and fever require an antibiotic. Refer such patients to a health service for advice. ORT on its own is usually enough to rehydrate the child. Unnecessary antibiotic therapy upsets the normal bacteriological balance of the intestine. Many anti-diarrhoeal preparations have proved to be either ineffective or too powerful for very small infants."
,,,,,,,,,,,,,,,,,,,What can be done to prevent dehydration?,"The important thing is to keep replacing the fluid and body salts. At the first sign of diarrhoea, you must give ORS to the patient. You must give this drink after every loose motion. If you have diarrhoea or vomiting, or if you are not drinking very much, force yourself to begin drinking liquids before you become dehydrated. If you are with someone you think is becoming dehydrated, follow these
guidelines when possible:

Give more liquids than usual.
Remember that a dehydrated person will have less of an appetite.
Encourage him or her to eat and drink small amounts of food and
liquids five to seven times a day.
Watch for signs of more severe dehydration and get medical help as soon as possible."
,,,,,,,,,,,,,,,,,,,How can I protect myself from getting dehydrated?,"Know the symptoms of dehydration.
Try to drink extra fluids if you know your body is losing them rapidly.
Know the recipe for ORS.
If you are traveling in a country that does not have water that is safe for drinking, carry with you a quart (or liter) of boiled water and packets of ORS or the ingredients to make it."
,,,,,,,,,,,,,,,,,,,"Apart from ORT, are there any other important aspects to the management of diarrhoea?","First of all, prevention including the following measures:

breastfeeding
environmental sanitation
personal hygiene
clean drinking water
clean preparation and storage of food
insect and fly control
Secondly, maintaining or increasing food and fluid intake during and after an attack of diarrhoea. Starving children with diarrhoea to ""dry it up"" probably causes millions of deaths a year.

If these two strategies - preventive and nutritional could be taught, most of the present catastrophic problem of diarrhoeal diseases could be overcome."
,,,,,,,,,,,,,,,,,,,"When is it appropriate to recommend the use of ""home-prepared oral rehydration therapy"" and when is prepacked ORS better?
","Home-prepared solutions are recommended for use by parents to give to their child immediately an attack of diarrhoea starts - BEFORE any signs of dehydration occur. Basically, the idea is to PREVENT dehydration and also by maintaining fluid and food intake to preserve a good nutritional status."
,,,,,,,,,,,,,,,,,,,"Why is prepacked ORS referred to as ""complete formula"" and why is a home-prepared solution not as effective for treatment? Are they not both basically sugar, salt and water anyway?","No. They are not the same thing at all. The ""complete formula"" ORS contains potassium and a base - either bicarbonate or citrate - which corrects acidosis which small infants in particular suffer when they are dehydrated. Potassium is important in the treatment of dehydration - most especially for the child who suffers repeated bouts of diarrhoea. Potassium is a vital essential element that occurs in the body cells (but very little exists in the body fluids, almost all of the body's potassium is locked inside the cells). It is not involved in the so-called ""glucose-sodium co-transport mechanism"" which is the basis of the way in which ORS achieves rehydration. Therefore potassium is only absorbed passively and more slowly. If a child is rehydrated with a solution containing no potassium each successive attack of diarrhoea leaves the child more and more depleted of potassium - this results in fatigue, apathy and muscular weakness, the typical bloated belly of a malnourished child is largely caused by potassium depletion causing the muscles of the abdomen to slack. Finally such a child will die."
,,,,,,,,,,,,,,,,,,,Can potassium be made good by feeding potassium rich foods like bananas?,"Fortunately to some extent yes. However, mothers need to be taught and motivated how to modify a child's normal diet to include these foods for several weeks after an attack of diarrhoea - or more or less permanently in fact in order to have much of an effect."
,,,,,,,,,,,,,,,,,,,"Does a home-prepared ORS have to be made of sugar, salt and water?","Sugar is in many places very expensive, or even unobtainable. The ""red booklet"" ""THE MANAGEMENT OF DIARRHOEA AND USE OF ORAL REHYDRATION THERAPY - A Joint WHO/UNICEF Statement"" makes clear on page 11 that there are two basic types of Home- prepared solutions: (a) Those containing starch rather sugar - throughout the world all people have a basic starchy foodstuff that is a staple part of their diet - it may be rice, root tubers, e.g. yams, potatoes, etc, or grains e.g. wheat, etc. Those starchy foods are nearly always boiled in water to cool them and in the process the cooling water, especially near the end of cooking, becomes a rich starchy solution, already boiled and cooled. With the addition of a little salt (so that it tastes no more salty than tears) such liquids are an excellent home-prepared solution to give to children for the prevention of dehydration. Unfortunately, they may be less effective for children less then 3 months old. Only in areas of famine would such solutions not be readily available in the home at no significant extra cost. With starches you cannot really give an excess - whereas with sugar as excess in solution (over 3%) will cause a worsening of diarrhoea due to osmotic effects. More operational research needs to be done in specific regions and countries to identify and popularize the use of these starch based home- prepared solutions and uncover and unforeseen problems e.g. fermenting of the solution after a few hours storage - or that the liquid is normally fed to animals and may be culturally unacceptable to give to children. In such cases some simple modification to the procedure may be devised to overcome these problems. (b) Sugar and salt solutions have been widely promulgated for years simply because they are analogous to ORS. They have certain disadvantages, for instance: It involves measuring quite accurately two different weights (or measures) of solids - hence a very real possibility of muddling the two up, with disastrous consequences = and measuring the volume of water accurately. It is thus more difficult to mix properly than ORS, where you only need to measure the water. It requires more tuition time and a more competent parent to do it correctly. It is more expensive - often much more expensive and so may be used too sparingly and therefore be of no use. In spite of this, there are examples where it has been widely used with great success, e.g. lobon-gur in Bangladesh. The applicability of either method depends very much on local or national circumstances and policies and should be decided accordingly - there is never a universal ""right"" method."
