Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Symptoms (critical_stage),Medication (general),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers
,,,,,,Alpha-glucosidase inhibitors: These drugs lower blood glucose by delaying the breakdown of carbohydrates and reducing glucose absorption in the small intestine. An example is acarbose (Precose®).,,,"Gestational diabetes: If you have this type and your glucose level is not too high, your initial treatment might be modifying your diet and getting regular exercise. If the target goal is still not met or your glucose level is very high, your healthcare team may start medication or insulin.",,,,,,Death,,"Eat a healthy diet, such as the Mediterranean or Dash diet. Keep a food diary and calorie count of everything you eat. Cutting 250 calories per day can help you lose ½ pound per week.","Gestational diabetes: Test all pregnant women who have had a diagnosis of diabetes. Test all pregnant women between weeks 24 and 28 of their pregnancy. If you have other risk factors for gestational diabetes, your obstetrician may test you earlier.",When is it necessary to call a doctor if you have diabetes?,"If you have diabetes and your blood sugar is 300 mg/dL or higher two times in a row for an unknown reason,  If you have a low blood sugar (less than 70 mg/dL) that has not come up after three treatments"
,,,,,,"Thiazolidinediones: These drugs improve the way insulin works in the body by allowing more glucose to enter into muscles, fat and the liver. Examples include pioglitazone (Actos®) and rosiglitazone (Avandia®).",,,"Rapid-acting insulins: These insulins are taken 15 minutes before meals, they peak (when it best lowers blood glucose) at one hour and work for another two to four hours. Examples include insulin glulisine (Apidra®), insulin lispro (Humalog®) and insulin aspart (NovoLog®).",,,,,,Preeclampsia,,Get physically active. Aim for 30 minutes a day at least five days a week. Start slow and work up to this amount or break up these minutes into more doable 10 minute segments. Walking is great exercise.,Testing for Type 1 diabetes: Test in children and young adults who have a family history of diabetes.,How can I treat and manage hyperglycemia?,"People with both type 1 and type 2 diabetes can manage hyperglycemia by eating healthy, being active, and managing stress."
,,,,,,"GLP-1 analogs (also called incretin mimetics or glucagon-like peptide-1 receptor agonists): These drugs increase the release of insulin, reduce glucose release from the liver after meals and delay food emptying from the stomach. Examples include exenatide (Byetta®), liraglutide (Victoza®), albiglutide (Tanzeum®), semaglutide (Rybelsus®) and dulaglutide (Trulicity®).",,,"Short-acting insulins: These insulins take about 30 minutes to reach your bloodstream, reach their peak effects in two to three hours and last for three to six hours. An example is insulin regular (Humulin R®).",,,,,,Subsequent gestational diabetes,,"Lose weight if you are overweight. Don't lose weight if you are pregnant, but check with your obstetrician about healthy weight gain during your pregnancy.",children between 10 and 18 who are overweight and have at least two risk factors for type 2 diabetes.,How do I prevent hyperglycemia?,"Exercise to help lower blood sugar, Follow your meal plan if you have one, Maintain a healthy weight, Don't smoke, Limit drinking alcohol."
 ,,,,,,"DPP-4 inhibitors (also called dipeptidyl peptidase-4 inhibitors): These drugs help your pancreas release more insulin after meals. They also lower the amount of glucose released by the liver. Examples include alogliptin (Nesina®), sitagliptin (Januvia®), saxagliptin (Onglyza®) and linagliptin (Tradjenta®).",,,"Intermediate-acting insulins: These insulins reach your bloodstream in two to four hours, peak in four to 12 hours and work for up to 18 hours. An example in NPH.",,,,,,Cesarean birth (C-section) if the baby gets too big.,,"Lower your stress. Learn relaxation techniques, deep breathing exercises, mindful meditation, yoga and other helpful strategies.","Glucose challenge test: You drink a sweet liquid. After about an hour, you'll have a blood test to check your blood sugar level. If your blood sugar is high, your healthcare provider will do a glucose tolerance test.",What is brittle diabetes?,Brittle diabetes is diabetes that's especially difficult to manage and often disrupts everyday life. People with brittle diabetes have severe swings in blood glucose (blood sugar).
 ,,,,,,"SGLT2 inhibitors (also called sodium-glucose cotransporter 2 inhibitors): These drugs work on your kidneys to remove glucose in your body through your urine. Examples include canagliflozin (Invokana®), dapagliflozin (Farxiga®) and empagliflozin (Jardiance®).",,,"Long-acting insulins: These insulins work to keep your blood sugar stable all day. Usually, these insulins last for about 18 hours. Examples include insulin glargine (Basaglar®, Lantus®, Toujeo®), insulin detemir (Levemir®) and insulin degludec (Tresiba®).",,,,,,Hypoglycemia (low blood sugar).,,Limit alcohol intake. Men should drink no more than two alcoholic beverages a day; women should drink no more than one.,Glucose tolerance test: An oral glucose tolerance test is only done if your challenge test results are unusual. You fast (don't eat for eight hours) before the tolerance test. Your healthcare provider draws your blood before and after you drink a sweet liquid. The tolerance test can confirm a diagnosis of gestational diabetes.,How common is brittle diabetes?,"Brittle diabetes is rare. It affects only about 3 of every 1,000 people with insulin-dependent diabetes."
,,,,,,"Bile acid sequestrants: These drugs lower cholesterol and blood sugar levels. Examples include colestipol (Colestid®), cholestyramine (Questran®) and colesevelam (Welchol®).",,,ketoacidosis teament include Blood glucose test.,,,,,,Preeclampsia (high blood pressure during pregnancy).,,Get an adequate amount of sleep (typically 7 to 9 hours).,"Diabetes-related ketoacidosis is generally diagnosed if Your blood glucose (sugar) level is above 250 mg/dL. (It's possible for you to be in DKA even if your blood sugar is lower than 250. This is known as euglycemic diabetes-related ketoacidosis [euDKA], and it's not as common.)",How can people with brittle diabetes care for themselves?,"Eat a healthy diet low in sugar and carbohydrates to lessen swings in blood glucose, Exercise regularly, Maintain a healthy weight, Take diabetes medications exactly as prescribed, Test blood glucose frequently."
,,,,,,Dopamine agonist: This medication lowers the amount of glucose released by the liver. An example is bromocriptine (Cyclocet®).,,,ketoacidosis teament include Ketone testing (through a urine or blood test).,,,,,,Type 2 diabetes.,,"Take medications and to manage existing risk factors for heart disease (e.g., high blood pressure, cholesterol) or to reduce the risk of developing Type 2 diabetes and as directed by your healthcare provider.",Diabetes-related ketoacidosis is generally diagnosed if Your blood pH is less than 7.3 (acidosis).,When should I seek medical attention for brittle diabetes?,"Confusion or dizziness, Fast heart rate, Trouble breathing, Vomiting."
,,,,,,,,,ketoacidosis teament include Arterial blood gas.,,,,,,diabetes-related ketoacidosis can lead to severe complications Very low potassium levels (hypokalemia).,,"If you think you have symptoms of prediabetes, see your provider.",Diabetes-related ketoacidosis is generally diagnosed if You have ketones in your urine and/or blood.,How diabetes can affect the eyes,"a persistently high blood sugar level can damage these blood vessels in 3 main stages: background retinopathy, pre-proliferative retinopathy, proliferative retinopathy"
,,,,,,,,,ketoacidosis teament include Basic metabolic panel.,,,,,,diabetes-related ketoacidosis can lead to severe complications Swelling inside of the brain (cerebral edema).,,"Avoid junk food, processed foods and sugary drinks.",Diabetes-related ketoacidosis is generally diagnosed if Your serum (blood) bicarbonate level is less than 18 mEq per L.,Am I at risk of diabetic retinopathy?,"if you have had diabetes for a long time, have a persistently high blood sugar (blood glucose) level, have high blood pressure, have high cholesterol, are pregnant"
,,,,,,,,,ketoacidosis teament include Blood pressure check.,,,,,,diabetes-related ketoacidosis can lead to severe complications Fluid inside of the lungs (pulmonary edema).,,"Choose a healthy balance of proteins, carbohydrates, fiber and fat.","Examine your toes, feet and legs for diabetes-related foot conditions",Type 1 diabetes in children,"Type 1 diabetes in children is a condition in which your child's body no longer produces an important hormone (insulin). Your child needs insulin to survive, so the missing insulin needs to be replaced with injections or with an insulin pump."
,,,,,,,,,ketoacidosis teament include Osmolality blood test.,,,,,,diabetes-related ketoacidosis can lead to severe complications Damage to your kidneys and other organs.,,Eat smaller meals more often.,"Touch the toes, feet and legs with various tools to check whether you have numbness  for diabetes-related foot conditions",Type 2 diabetes in children,"Type 2 diabetes in children is a chronic disease that affects the way your child's body processes sugar (glucose) for fuel. Without treatment, the disorder causes sugar to build up in the bloodstream, which can lead to serious long-term consequences."
,,,,,,,,,ketoacidosis teament include Urine ketone test,,,,,,diabetes-related ketoacidosis can lead to severe complications Coma.,,Schedule your meals at the same time each day.,"Examine it for any signs of infection, such as redness, swelling, warmth, discoloration or discharge for diabetes-related foot conditions",Type 2 diabetes in children causes?,increasing number of children with obesity has led to more cases of type 2 diabetes in younger people.
,,,,,,,,,ketoacidosis teament include  Blood ketone test,,,,,,diabetes-related ketoacidosis can lead to severe complications Death,,"Check your skin daily for signs of rashes, redness, infections or sores.","Order tests to take pictures deeper than the skin, such as X-ray or MRI for diabetes-related foot conditions",Complications of Type - 2 diabetes in children?,"Type 2 diabetes can affect nearly every organ in your child's body, including the blood vessels, nerves, eyes and kidneys. "
,,,,,,,,,ketoacidosis teament include  Blood glucose (blood sugar) tests,,,,,,"outlook and life expectancy with brittle diabetes include : Complications, such as problems with the eyes, kidneys, heart and nerves, Frequent hospitalizations, Problems with pregnancy, Shorter life expectancy.",,Use warm (not hot) water and moisturizing soap in the shower. (Soaking in a tub dries out skin.),Take a sample of the skin or discharge to test for infection for diabetes-related foot conditions,,
,,,,,,,,,Care for diabetes-related foot pain may involve Cleaning the wound.,,,,,,,,"Pat skin dry with a towel (don't rub), making sure to dry in between fingers, toes and skin folds.",,,
,,,,,,,,,Care for diabetes-related foot pain may involve Draining any fluid or pus from the ulcer.,,,,,,,,Apply fragrance-free moisturizers after showering while skin is still damp and soft. Look for creams and ointments (not lotions) with ceramide to help skin retain moisture.,,,
,,,,,,,,,Care for diabetes-related foot pain may involve Removing or cutting away dead or infected tissue (called debridement).,,,,,,,,"Apply creams containing 10% to 25% urea (an emollient) to cracked, dry heels at bedtime.",,,
,,,,,,,,,"Care for diabetes-related foot pain may involve Applying special bandages and ointments to absorb extra fluid, protect the wound and help it heal.",,,,,,,,Prevent dehydration and keep skin hydrated by drinking plenty of fluids.,,,
,,,,,,,,,Care for diabetes-related foot pain may involve Prescribing a wheelchair or crutches to take weight off the affected foot (called offloading).,,,,,,,,"Treat cuts and wounds immediately with soap and water. Use antibiotic ointments only if your healthcare provider gives the OK. Bandage the wound daily. Call your provider if you notice signs of redness, pain, drainage or infection.",,,
,,,,,,,,,Care for diabetes-related foot pain may involve Prescribing oral or IV antibiotics to control and eliminate infection.,,,,,,,,Use a humidifier to add moisture to the air in your home.,,,
,,,,,,,,,diabetes treated by Continuous glucose monitor,,,,,,,,To reduce  risk of diabetes-related foot pain Checking your feet every day for any changes. Don't forget to look between your toes. Ask someone for help or use a mirror if needed.,,,
,,,,,,,,,diabetes treated by Insulin pump,,,,,,,,To reduce  risk of diabetes-related foot pain Getting your feet checked at every visit with a healthcare provider.,,,
,,,,,,,,,diabetes treated by Islet cell transplantation,,,,,,,,To reduce  risk of diabetes-related foot pain Keeping your toenails trimmed and filed. Cut them straight across to prevent ingrown toenails.,,,
,,,,,,,,,diabetes treated by Pancreas transplant,,,,,,,,"To reduce  risk of diabetes-related foot pain Maintaining blood flow to the feet. For example, keep your feet elevated when you sit, and wiggle your toes often. Stay active, but choose activities that are gentler on the feet, such as walking or swimming.",,,
,,,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Putting cornstarch or talcum powder between the toes to prevent moisture buildup.,,,
,,,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Smoothing any corns or calluses.,,,
,,,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Wearing socks and shoes (or slippers) all day. Make sure your socks aren't too tight and that your shoes fit properly. Some people with diabetes wear therapeutic shoes or shoe inserts to help prevent wounds or sores.,,,
,,,,,,,,,,,,,,,,,"To reduce  risk of diabetes-related foot pain Washing your feet every day in warm water, not hot. Dry them thoroughly afterward, including between the toes. Then apply lotion to the tops and bottoms of the feet, but not between the toes.",,,
,,,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Cut calluses or corns or apply chemicals.,,,
,,,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Smoke,,,
,,,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Soak your feet,,,
,,,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Walk around barefoot.,,,
,,,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Wear tight socks or shoes.,,,
,,,,,,,,,,,,,,,,,"To prevent diabetes-related coma : Don't skip meals, Keep treatment for a low blood sugar with you at all time, Avoid drinking too much alcohol, Follow instructions for proper dosage and timing of medications and insulin, Learn how to manage stress",,,
,,,,,,,,,,,,,,,,,"Reduce your risk of diabetic retinopathy by: controlling your blood sugar, blood pressure and cholesterol levels",,,
,,,,,,,,,,,,,,,,,Reduce your risk of diabetic retinopathy by: taking your diabetes medicine as prescribed,,,
,,,,,,,,,,,,,,,,,Reduce your risk of diabetic retinopathy by: attending all your screening appointments,,,
,,,,,,,,,,,,,,,,,Reduce your risk of diabetic retinopathy by: getting medical advice quickly if you notice any changes to your vision,,,
,,,,,,,,,,,,,,,,,"Reduce your risk of diabetic retinopathy by: maintaining a healthy weight, eating a healthy, balanced diet, exercising regularly and stopping smoking",,,
,,,,,,,,,,,,,,,,,"There's currently no known way to prevent type 1 diabetes, but this is a very active area of research",,,
,,,,,,,,,,,,,,,,,help your child prevent type - 2 diabetes complications by: Working with your child to maintain good blood sugar control as much as possible,,,
,,,,,,,,,,,,,,,,,help your child prevent type - 2 diabetes complications by: Teaching your child the importance of healthy eating and participating in regular physical activity,,,
,,,,,,,,,,,,,,,,,help your child prevent type - 2 diabetes complications by: Scheduling regular visits with your child's diabetes treatment team,,,
,,,,,,,,,,,,,,,,,"Healthy-lifestyle choices can help prevent type 2 diabetes in children. Encourage your child to: Eat healthy foods, Get more physical activity",,,
