Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers,condition,Symptoms(Critical_stage),Medication(general)
Stress,,,,,,,,,,,,,,,,,,,diabetes,High blood glucose (blood sugar) levels (over 250 mg/dL),
anxiety,,,,,,,,,,,,,,,,,,,diabetes,Nausea and vomiting,
depression,,,,,,,,,,,,,,,,,,,diabetes,Abdominal pain,
"Dizziness, weakness or shaking",,,,,,,,,,,,,,,,,,,diabetes,Shortness of breath,
Fast heart rate,,,,,,,,,,,,,,,,,,,diabetes,Fruity-smelling breath,
Irritability or confusion,,,,,,,,,,,,,,,,,,,diabetes,Feeling very tired or weak,
Pale skin,,,,,,,,,,,,,,,,,,,diabetes,Feeling disoriented or confused,
Restless sleep,,,,,,,,,,,,,,,,,,,diabetes,Decreased alertness,
Sweating,,,,,,,,,,,,,,,,,,,diabetes,Tiredness,
Sudden hunger,,,,,,,,,,,,,,,,,,,diabetes,Abdominal pain,
Blurry vision,,,,,,,,,,,,,,,,,,,diabetes,Shortness of breath,
"Fatigue (feeling weak, tired)",,,,,,,,,,,,,,,,,,,diabetes,Increased urination,
Frequent urination (peeing),,,,,,,,,,,,,,,,,,,diabetes,Weak pulse,
Headache,,,,,,,,,,,,,,,,,,,diabetes,Drowsiness,
Skin infections and slow-healing cuts,,,,,,,,,,,,,,,,,,,diabetes,Walking unsteadily,
Thirst or hunger,,,,,,,,,,,,,,,,,,,diabetes,Increased thirst,
Confusion,,,,,,,,,,,,,,,,,,,diabetes,Rapid heart rate,
Dehydration,,,,,,,,,,,,,,,,,,,diabetes,Dry mouth,
Fast heart rate,,,,,,,,,,,,,,,,,,,diabetes,Fruity smell to your breath,
Fruity-smelling breath,,,,,,,,,,,,,,,,,,,diabetes,Hunger,
Trouble breathing,,,,,,,,,,,,,,,,,,,diabetes,Weakness and tiredness,
Vomiting,,,,,,,,,,,,,,,,,,,diabetes,Sweating,
,,,,,,,,,,,,,,,,,,,diabetes,Fast breathing,
,,,,,,,,,,,,,,,,,,,diabetes,"Shakiness, nervousness and/or anxiety",
,,,,,,,,,,,,,,,,,,,diabetes,Nausea,
,,,,,,,,,,,,,,,,,,,diabetes,Confusion and problems communicating,
,,,,,,,,,,,,,,,,,,,diabetes,"Light-headedness, dizziness",
,,,,,,,,,,,,,,,,,,,diabetes,Hunger,
,,,,,,,,,,,,,,,,,,,diabetes,Drinking too much alcohol,
,,,,,,,,,,,,,,,,,,,diabetes,Eating too little,
,,,,,,,,,,,,,,,,,,,diabetes,Exercising too much,
,,,,,,,,,,,,,,,,,,,diabetes,Taking too much insulin,
,Breathing problems.,,,,,,"Keep your blood glucose levels as near to normal as possible by following a diet plan, taking prescribed medication and increasing your activity level.","There's currently no known way to prevent type 1 diabetes, but this is a very active area of research",,atients who have Type 1 diabetes. A pancreas transplant is possible.,,Facts: Adults with diabetes have a two- to three-fold increased risk of heart attacks and strokes,,,achieve and maintain a healthy body weight;,"blood glucose control, particularly in type 1 diabetes. People with type 1 diabetes require insulin, people with type 2 diabetes can be treated with oral medication, but may also require insulin;",How common are diabetes-related foot conditions?,The chance that a person with diabetes will develop a foot condition at some time in their life is about 15%.,diabetes,"If you have too much glucose in your blood, you have a condition called hyperglycemia. ","niacin, a type of vitamin B3"
,Hypoglycemia,,,,,,Maintain your blood cholesterol (HDL and LDL levels) and triglyceride levels as near the normal ranges as possible.,You can help your child prevent diabetes type -1 complications by: Working with your child to maintain good blood sugar control as much as possible,,Another type of transplant is a pancreatic islet transplant.,,"Facts: Combined with reduced blood flow, neuropathy (nerve damage) in the feet increases the chance of foot ulcers, infection and eventual need for limb amputation.",,,"be physically active and doing at least 30 minutes of regular, moderate-intensity activity on most days. More activity is required for weight control;",blood pressure control;,What is the outlook for people with diabetes-related foot conditions?,"The outlook depends on factors such as: How early the wound was found, Presence of infection and how much it spreads, Treatment effectiveness. If the infection can't be controlled and spreads too far, amputation may be necessary.",diabetes,,"certain types of diuretics, also called water pills"
,Obesity,,,,,,Control your blood pressure. Your blood pressure should not be over 140/90 mmHg.,You can help your child prevent diabetes type -1 complications by: Teaching your child the importance of eating a healthy diet and participating in regular physical activity,,Another treatment under research for Type 1 diabetes is immunotherapy. ,,"Facts: Diabetic retinopathy is an important cause of blindness, and occurs as a result of long-term accumulated damage to the small blood vessels in the retina.",,,"eat a healthy diet, avoiding sugar and saturated fats; and",foot care (patient self-care by maintaining foot hygiene; wearing appropriate footwear; seeking professional care for ulcer management; and regular examination of feet by health professionals).,When should I seek medical care for diabetes-related foot pain?,"Any changes in foot shape, Any changes to the skin on the feet, including a wound, redness or darkness, warmth or a funny smell, Hair loss on your toes, feet or legs, Loss of feeling in the toes, feet or legs, Pain, tingling, burning or cramping in the feet or legs, Thick, yellow toenails.",diabetes,,anti-seizure drugs
,Premature birth.,,,,,,Mediterranean diet (,You can help your child prevent diabetes type -1 complications by: Scheduling regular visits with your child's diabetes health care professional,,"Bariatric surgery is an option if you have Type 2 diabetes, are obese (body mass index over 35) and considered a good candidate for this type of surgery.",,Facts: Diabetes is among the leading causes of kidney failure,,,avoid tobacco use and smoking increases the risk of diabetes and cardiovascular disease.,screening and treatment for retinopathy (which causes blindness);,What is diabetes?,Diabetes happens when your body isn't able to take up sugar (glucose) into its cells and use it for energy. This results in a build up of extra sugar in your bloodstream.,diabetes,,psychiatric drugs
,Type 2 diabetes.,,,,,,Dash diet,,,"If your blood sugar is too high, you'll receive: Intravenous fluids, Supplements of phosphate, sodium, and potassium, Insulin",,,,,"Eating healthy foods. Choose foods lower in fat and calories and higher in fiber. Focus on fruits, vegetables and whole grains.",blood lipid control (to regulate cholesterol levels);,What are the different types of diabetes?,"Type 1 diabetes, Type 2 diabetes, Prediabetes, Gestational diabetes, Monogenic diabetes syndromes, Cystic fibrosis-related diabetes, Drug or chemical-induced diabetes, Diabetes insipidus",diabetes,,drugs to treat human immunodeficiency virus (HIV)
,,,,,,,Exercising regularly,,,"If your blood sugar is too low, you will receive: Glucagon (a hormone to increase blood sugar), Intravenous fluids, 50% dextrose solution. ",,,,,"Getting active. Aim for 150 or more minutes a week of moderate to vigorous aerobic activity, such as a brisk walk, bicycling, running or swimming.",screening for early signs of diabetes-related kidney disease and treatment.,How common is diabetes?,The number of people who are diagnosed with diabetes increases with age. More than 26% of adults age 65 and older (about 1 in 4) have diabetes.,diabetes,,"pentamidine, a drug used to treat a type of pneumonia"
,,,,,,,Losing weight,,,"main treatments for more advanced diabetic retinopathy are: laser treatment, injections of medication into your eyes, an operation to remove blood or scar tissue from your eye",,,,,"Losing weight. Losing a modest amount of weight and keeping it off can delay the progression from prediabetes to type 2 diabetes. If you have prediabetes, losing 7% to 10% of your body weight can reduce the risk of diabetes.",Fasting plasma glucose test: This test is best done in the morning after an eight hour fast (nothing to eat or drink except sips of water).,Who gets diabetes? What are the risk factors?,"Risk factors for Type 1 diabetes include:  Having a family history, njury to the pancreas, Physical stress, Presence of autoantibodies, Exposure to illnesses caused by viruses .   Risk factors for prediabetes and Type 2 diabetes include: Being overweight, Having high blood pressure, Having low HDL cholesterol and high triglyceride level, Being physically inactive, Being age 45 or older, Having gestational diabetes or giving birth to a baby weighing more than 9 pounds, Having polycystic ovary syndrome., Being a smoker",diabetes,,"glucocorticoidsmedicines used to treat inflammatory illnesses such as rheumatoid arthritis NIH external link, asthma NIH external link, lupus NIH external link, and ulcerative colitis"
,,,,,,,"Taking medication and insulin, if prescribed, and closely following recommendations on how and when to take it.",,,,,,,,Avoiding inactivity for long periods. Sitting still for long periods can increase your risk of type 2 diabetes. Try to get up every 30 minutes and move around for at least a few minutes.,Random plasma glucose test: This test can be done any time without the need to fast.,What happens if my blood glucose level is low?,"Having a blood glucose level that is lower than the normal range (usually below 70 mg/dL) is called hypoglycemia. And you might experience Weakness or shaking.Moist skin, sweating, Dizziness, Sudden hunger.",diabetes,,"anti-rejection medicines, used to help stop the body from rejecting a transplanted organ"
,,,,,,,"Type 1 diabetes: If you have this type, you must take insulin every day. Your pancreas no longer makes insulin.",,,,,,,,Monitoring your blood glucose and blood pressure levels at home.,"A1c test: This test, also called HbA1C or glycated hemoglobin test, provides your average blood glucose level over the past two to three months. This test measures the amount of glucose attached to hemoglobin, the protein in your red blood cells that carries oxygen. You don't need to fast before this test.",What happens if my blood glucose level is high?,"If you have too much glucose in your blood, you have a condition called hyperglycemia. ",diabetes,,"Sulfonylureas: These drugs lower blood glucose by causing the pancreas to release more insulin. Examples include glimepiride (Amaryl®), glipizide (Glucotrol®) and glyburide (Micronase®, DiaBeta®)."
,,,,,,,"Type 2 diabetes: If you have this type, your treatments can include medications (both for diabetes and for conditions that are risk factors for diabetes), insulin and lifestyle changes such as losing weight, making healthy food choices and being more physically active.",,,,,,,,Keeping your appointments with your healthcare providers and having laboratory tests completed as ordered by your doctor.,"Oral glucose tolerance test: In this test, blood glucose level is first measured after an overnight fast. Then you drink a sugary drink. Your blood glucose level is then checked at hours one, two and three.",What insulin medications are approved to treat diabetes?,"Rapid-acting insulins, Short-acting insulins, Intermediate-acting insulins, Long-acting insulins.",diabetes,,Glinides (also called meglitinides): These drugs lower blood glucose by getting the pancreas to release more insulin. Examples include repaglinide (Prandin®) and nateglinide (Starlix®).
,,,,,,,"Prediabetes: If you have prediabetes, the goal is to keep you from progressing to diabetes. Treatments are focused on treatable risk factors, such as losing weight by eating a healthy diet (like the Mediterranean diet) and exercising (at least five days a week for 30 minutes). Many of the strategies used to prevent diabetes are the same as those recommended to treat diabetes (see prevention section of this article).",,,,,,,,Quitting smoking (if you smoke).,"Gestational diabetes tests: There are two blood glucose tests if you are pregnant. With a glucose challenge test, you drink a sugary liquid and your glucose level is checked one hour later. You don't need to fast before this test.",How is insulin taken? How many different ways are there to take insulin?,"Needle and syringe, Insulin pen, Insulin pump, Artificial pancreas, Insulin inhaler, Insulin injection port, Jet injector",diabetes,,"Biguanides: These drugs reduce how much glucose the liver produces. It also improves how insulin works in the body, and slows down the conversion of carbohydrates into sugar. Metformin (Glucophage®) is the example."
,,,,,,,"Gestational diabetes: If you have this type and your glucose level is not too high, your initial treatment might be modifying your diet and getting regular exercise. If the target goal is still not met or your glucose level is very high, your healthcare team may start medication or insulin.",,,,,,,,"Eat a healthy diet, such as the Mediterranean or Dash diet. Keep a food diary and calorie count of everything you eat. Cutting 250 calories per day can help you lose ½ pound per week.","Gestational diabetes: Test all pregnant women who have had a diagnosis of diabetes. Test all pregnant women between weeks 24 and 28 of their pregnancy. If you have other risk factors for gestational diabetes, your obstetrician may test you earlier.",When is it necessary to call a doctor if you have diabetes?,"If you have diabetes and your blood sugar is 300 mg/dL or higher two times in a row for an unknown reason,  If you have a low blood sugar (less than 70 mg/dL) that has not come up after three treatments",diabetes,,Alpha-glucosidase inhibitors: These drugs lower blood glucose by delaying the breakdown of carbohydrates and reducing glucose absorption in the small intestine. An example is acarbose (Precose®).
,,,,,,,"Rapid-acting insulins: These insulins are taken 15 minutes before meals, they peak (when it best lowers blood glucose) at one hour and work for another two to four hours. Examples include insulin glulisine (Apidra®), insulin lispro (Humalog®) and insulin aspart (NovoLog®).",,,,,,,,Get physically active. Aim for 30 minutes a day at least five days a week. Start slow and work up to this amount or break up these minutes into more doable 10 minute segments. Walking is great exercise.,Testing for Type 1 diabetes: Test in children and young adults who have a family history of diabetes.,How can I treat and manage hyperglycemia?,"People with both type 1 and type 2 diabetes can manage hyperglycemia by eating healthy, being active, and managing stress.",diabetes,,"Thiazolidinediones: These drugs improve the way insulin works in the body by allowing more glucose to enter into muscles, fat and the liver. Examples include pioglitazone (Actos®) and rosiglitazone (Avandia®)."
,,,,,,,"Short-acting insulins: These insulins take about 30 minutes to reach your bloodstream, reach their peak effects in two to three hours and last for three to six hours. An example is insulin regular (Humulin R®).",,,,,,,,"Lose weight if you are overweight. Don't lose weight if you are pregnant, but check with your obstetrician about healthy weight gain during your pregnancy.",children between 10 and 18 who are overweight and have at least two risk factors for type 2 diabetes.,How do I prevent hyperglycemia?,"Exercise to help lower blood sugar, Follow your meal plan if you have one, Maintain a healthy weight, Don't smoke, Limit drinking alcohol.",diabetes,,"GLP-1 analogs (also called incretin mimetics or glucagon-like peptide-1 receptor agonists): These drugs increase the release of insulin, reduce glucose release from the liver after meals and delay food emptying from the stomach. Examples include exenatide (Byetta®), liraglutide (Victoza®), albiglutide (Tanzeum®), semaglutide (Rybelsus®) and dulaglutide (Trulicity®)."
,,,,,,,"Intermediate-acting insulins: These insulins reach your bloodstream in two to four hours, peak in four to 12 hours and work for up to 18 hours. An example in NPH.",,,,,,,,"Lower your stress. Learn relaxation techniques, deep breathing exercises, mindful meditation, yoga and other helpful strategies.","Glucose challenge test: You drink a sweet liquid. After about an hour, you'll have a blood test to check your blood sugar level. If your blood sugar is high, your healthcare provider will do a glucose tolerance test.",What is brittle diabetes?,Brittle diabetes is diabetes that's especially difficult to manage and often disrupts everyday life. People with brittle diabetes have severe swings in blood glucose (blood sugar).,diabetes,,"DPP-4 inhibitors (also called dipeptidyl peptidase-4 inhibitors): These drugs help your pancreas release more insulin after meals. They also lower the amount of glucose released by the liver. Examples include alogliptin (Nesina®), sitagliptin (Januvia®), saxagliptin (Onglyza®) and linagliptin (Tradjenta®)."
,,,,,,,"Long-acting insulins: These insulins work to keep your blood sugar stable all day. Usually, these insulins last for about 18 hours. Examples include insulin glargine (Basaglar®, Lantus®, Toujeo®), insulin detemir (Levemir®) and insulin degludec (Tresiba®).",,,,,,,,Limit alcohol intake. Men should drink no more than two alcoholic beverages a day; women should drink no more than one.,Glucose tolerance test: An oral glucose tolerance test is only done if your challenge test results are unusual. You fast (don't eat for eight hours) before the tolerance test. Your healthcare provider draws your blood before and after you drink a sweet liquid. The tolerance test can confirm a diagnosis of gestational diabetes.,How common is brittle diabetes?,"Brittle diabetes is rare. It affects only about 3 of every 1,000 people with insulin-dependent diabetes.",diabetes,,"SGLT2 inhibitors (also called sodium-glucose cotransporter 2 inhibitors): These drugs work on your kidneys to remove glucose in your body through your urine. Examples include canagliflozin (Invokana®), dapagliflozin (Farxiga®) and empagliflozin (Jardiance®)."
,,,,,,,ketoacidosis teament include Blood glucose test.,,,,,,,,Get an adequate amount of sleep (typically 7 to 9 hours).,"Diabetes-related ketoacidosis is generally diagnosed if Your blood glucose (sugar) level is above 250 mg/dL. (It's possible for you to be in DKA even if your blood sugar is lower than 250. This is known as euglycemic diabetes-related ketoacidosis [euDKA], and it's not as common.)",How can people with brittle diabetes care for themselves?,"Eat a healthy diet low in sugar and carbohydrates to lessen swings in blood glucose, Exercise regularly, Maintain a healthy weight, Take diabetes medications exactly as prescribed, Test blood glucose frequently.",diabetes,,"Bile acid sequestrants: These drugs lower cholesterol and blood sugar levels. Examples include colestipol (Colestid®), cholestyramine (Questran®) and colesevelam (Welchol®)."
,,,,,,,ketoacidosis teament include Ketone testing (through a urine or blood test).,,,,,,,,"Take medications and to manage existing risk factors for heart disease (e.g., high blood pressure, cholesterol) or to reduce the risk of developing Type 2 diabetes and as directed by your healthcare provider.",Diabetes-related ketoacidosis is generally diagnosed if Your blood pH is less than 7.3 (acidosis).,When should I seek medical attention for brittle diabetes?,"Confusion or dizziness, Fast heart rate, Trouble breathing, Vomiting.",diabetes,,Dopamine agonist: This medication lowers the amount of glucose released by the liver. An example is bromocriptine (Cyclocet®).
,,,,,,,ketoacidosis teament include Arterial blood gas.,,,,,,,,"If you think you have symptoms of prediabetes, see your provider.",Diabetes-related ketoacidosis is generally diagnosed if You have ketones in your urine and/or blood.,How diabetes can affect the eyes,"a persistently high blood sugar level can damage these blood vessels in 3 main stages: background retinopathy, pre-proliferative retinopathy, proliferative retinopathy",diabetes,,
,,,,,,,ketoacidosis teament include Basic metabolic panel.,,,,,,,,"Avoid junk food, processed foods and sugary drinks.",Diabetes-related ketoacidosis is generally diagnosed if Your serum (blood) bicarbonate level is less than 18 mEq per L.,Am I at risk of diabetic retinopathy?,"if you have had diabetes for a long time, have a persistently high blood sugar (blood glucose) level, have high blood pressure, have high cholesterol, are pregnant",diabetes,,
,,,,,,,ketoacidosis teament include Blood pressure check.,,,,,,,,"Choose a healthy balance of proteins, carbohydrates, fiber and fat.","Examine your toes, feet and legs for diabetes-related foot conditions",Type 1 diabetes in children,"Type 1 diabetes in children is a condition in which your child's body no longer produces an important hormone (insulin). Your child needs insulin to survive, so the missing insulin needs to be replaced with injections or with an insulin pump.",diabetes,,
,,,,,,,ketoacidosis teament include Osmolality blood test.,,,,,,,,Eat smaller meals more often.,"Touch the toes, feet and legs with various tools to check whether you have numbness  for diabetes-related foot conditions",Type 2 diabetes in children,"Type 2 diabetes in children is a chronic disease that affects the way your child's body processes sugar (glucose) for fuel. Without treatment, the disorder causes sugar to build up in the bloodstream, which can lead to serious long-term consequences.",diabetes,,
,,,,,,,ketoacidosis teament include Urine ketone test,,,,,,,,Schedule your meals at the same time each day.,"Examine it for any signs of infection, such as redness, swelling, warmth, discoloration or discharge for diabetes-related foot conditions",Type 2 diabetes in children causes?,increasing number of children with obesity has led to more cases of type 2 diabetes in younger people.,diabetes,,
,,,,,,,ketoacidosis teament include  Blood ketone test,,,,,,,,"Check your skin daily for signs of rashes, redness, infections or sores.","Order tests to take pictures deeper than the skin, such as X-ray or MRI for diabetes-related foot conditions",Complications of Type - 2 diabetes in children?,"Type 2 diabetes can affect nearly every organ in your child's body, including the blood vessels, nerves, eyes and kidneys. ",diabetes,,
,,,,,,,ketoacidosis teament include  Blood glucose (blood sugar) tests,,,,,,"outlook and life expectancy with brittle diabetes include : Complications, such as problems with the eyes, kidneys, heart and nerves, Frequent hospitalizations, Problems with pregnancy, Shorter life expectancy.",,Use warm (not hot) water and moisturizing soap in the shower. (Soaking in a tub dries out skin.),Take a sample of the skin or discharge to test for infection for diabetes-related foot conditions,,,diabetes,,
,,,,,,,Care for diabetes-related foot pain may involve Cleaning the wound.,,,,,,,,"Pat skin dry with a towel (don't rub), making sure to dry in between fingers, toes and skin folds.",,,,diabetes,,
,,,,,,,Care for diabetes-related foot pain may involve Draining any fluid or pus from the ulcer.,,,,,,,,Apply fragrance-free moisturizers after showering while skin is still damp and soft. Look for creams and ointments (not lotions) with ceramide to help skin retain moisture.,,,,diabetes,,
,,,,,,,Care for diabetes-related foot pain may involve Removing or cutting away dead or infected tissue (called debridement).,,,,,,,,"Apply creams containing 10% to 25% urea (an emollient) to cracked, dry heels at bedtime.",,,,diabetes,,
,,,,,,,"Care for diabetes-related foot pain may involve Applying special bandages and ointments to absorb extra fluid, protect the wound and help it heal.",,,,,,,,Prevent dehydration and keep skin hydrated by drinking plenty of fluids.,,,,diabetes,,
,,,,,,,Care for diabetes-related foot pain may involve Prescribing a wheelchair or crutches to take weight off the affected foot (called offloading).,,,,,,,,"Treat cuts and wounds immediately with soap and water. Use antibiotic ointments only if your healthcare provider gives the OK. Bandage the wound daily. Call your provider if you notice signs of redness, pain, drainage or infection.",,,,diabetes,,
,,,,,,,Care for diabetes-related foot pain may involve Prescribing oral or IV antibiotics to control and eliminate infection.,,,,,,,,Use a humidifier to add moisture to the air in your home.,,,,diabetes,,
,,,,,,,diabetes treated by Continuous glucose monitor,,,,,,,,To reduce  risk of diabetes-related foot pain Checking your feet every day for any changes. Don't forget to look between your toes. Ask someone for help or use a mirror if needed.,,,,diabetes,,
,,,,,,,diabetes treated by Insulin pump,,,,,,,,To reduce  risk of diabetes-related foot pain Getting your feet checked at every visit with a healthcare provider.,,,,diabetes,,
,,,,,,,diabetes treated by Islet cell transplantation,,,,,,,,To reduce  risk of diabetes-related foot pain Keeping your toenails trimmed and filed. Cut them straight across to prevent ingrown toenails.,,,,diabetes,,
,,,,,,,diabetes treated by Pancreas transplant,,,,,,,,"To reduce  risk of diabetes-related foot pain Maintaining blood flow to the feet. For example, keep your feet elevated when you sit, and wiggle your toes often. Stay active, but choose activities that are gentler on the feet, such as walking or swimming.",,,,diabetes,,
,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Putting cornstarch or talcum powder between the toes to prevent moisture buildup.,,,,diabetes,,
,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Smoothing any corns or calluses.,,,,diabetes,,
,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Wearing socks and shoes (or slippers) all day. Make sure your socks aren't too tight and that your shoes fit properly. Some people with diabetes wear therapeutic shoes or shoe inserts to help prevent wounds or sores.,,,,diabetes,,
,,,,,,,,,,,,,,,"To reduce  risk of diabetes-related foot pain Washing your feet every day in warm water, not hot. Dry them thoroughly afterward, including between the toes. Then apply lotion to the tops and bottoms of the feet, but not between the toes.",,,,diabetes,,
,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Cut calluses or corns or apply chemicals.,,,,diabetes,,
,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Smoke,,,,diabetes,,
,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Soak your feet,,,,diabetes,,
,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Walk around barefoot.,,,,diabetes,,
,,,,,,,,,,,,,,,To reduce  risk of diabetes-related foot pain Wear tight socks or shoes.,,,,diabetes,,
,,,,,,,,,,,,,,,"To prevent diabetes-related coma : Don't skip meals, Keep treatment for a low blood sugar with you at all time, Avoid drinking too much alcohol, Follow instructions for proper dosage and timing of medications and insulin, Learn how to manage stress",,,,diabetes,,
,,,,,,,,,,,,,,,"Reduce your risk of diabetic retinopathy by: controlling your blood sugar, blood pressure and cholesterol levels",,,,diabetes,,
,,,,,,,,,,,,,,,Reduce your risk of diabetic retinopathy by: taking your diabetes medicine as prescribed,,,,diabetes,,
,,,,,,,,,,,,,,,Reduce your risk of diabetic retinopathy by: attending all your screening appointments,,,,diabetes,,
,,,,,,,,,,,,,,,Reduce your risk of diabetic retinopathy by: getting medical advice quickly if you notice any changes to your vision,,,,diabetes,,
,,,,,,,,,,,,,,,"Reduce your risk of diabetic retinopathy by: maintaining a healthy weight, eating a healthy, balanced diet, exercising regularly and stopping smoking",,,,diabetes,,
,,,,,,,,,,,,,,,"There's currently no known way to prevent type 1 diabetes, but this is a very active area of research",,,,diabetes,,
,,,,,,,,,,,,,,,help your child prevent type - 2 diabetes complications by: Working with your child to maintain good blood sugar control as much as possible,,,,diabetes,,
,,,,,,,,,,,,,,,help your child prevent type - 2 diabetes complications by: Teaching your child the importance of healthy eating and participating in regular physical activity,,,,diabetes,,
,,,,,,,,,,,,,,,help your child prevent type - 2 diabetes complications by: Scheduling regular visits with your child's diabetes treatment team,,,,diabetes,,
,,,,,,,,,,,,,,,"Healthy-lifestyle choices can help prevent type 2 diabetes in children. Encourage your child to: Eat healthy foods, Get more physical activity",,,,diabetes,,
Belly (abdominal) cramps,,,,,,,Drink fluids : It is important to drink plenty of fluids to avoid dehydration,,,,"IPD cases, the median out-of-pocket health expenditure for the management of one episode of diarrheal illness was Rs. 6385 (IQR: Rs. 5889) ranged from Rs. 2652Rs. 24,299",Myth 1: Diarrhoea medicine will bung me up and delay my recovery from viral diarrhoea,"Generally 16.8-32.0 deaths per 100,000",,Wash your hands often,"Stool studies including culture and other tests. This test checks for any abnormal bacteria in your digestive tract that may cause diarrhea and other problems. To do this, a small stool sample is taken and sent to a lab.",What is diarrhoea?,"Diarrhoea is an intestinal disorder characterized by abnormal fluidity and frequency of fecal evacuations, generally the result of increased motility in the colon; may be an important symptom of such underlying disorders as dysenteric diseases, lactose intolerance, GI tumors, and inflammatory bowel disease. Diarrhoea is the passage of watery stools. This means body fluids and salts can be quickly lost from the body. The child becomes dry (dehydrated) and this is very dangerous and may kill the child.",diarrhea,,"Antibiotics are beneficial in certain types of acute diarrhoea, they are usually not used except in specific situations. Over the counter drug    Pepto-Bismol ( Bismuth subsalicylate ) , or anti-motility drug Imodium plus (    Loperamide hydrochloride with simethicone ) are few of medicines for diarrhoea."
