Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Symptoms(Critical_stage),Medication(babies/infants),Medication(old people),Medication(general),Treatment(general),Treatment(babies/infants),Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers,condition
Headache,,,,,Feeling very tired or weak,,,,,,,,,,,,,"Examine your toes, feet and legs for diabetes-related foot conditions",What are the different types of diabetes?,"Type 1 diabetes, Type 2 diabetes, Prediabetes, Gestational diabetes, Monogenic diabetes syndromes, Cystic fibrosis-related diabetes, Drug or chemical-induced diabetes, Diabetes insipidus",diabetes
Dehydration,,,,,Walking unsteadily,,,,,,,,,,,,,"Touch the toes, feet and legs with various tools to check whether you have numbness  for diabetes-related foot conditions",How common is diabetes?,The number of people who are diagnosed with diabetes increases with age. More than 26% of adults age 65 and older (about 1 in 4) have diabetes.,diabetes
Trouble breathing,,,,,Increased thirst,,,,,,,,,,,,,"Examine it for any signs of infection, such as redness, swelling, warmth, discoloration or discharge for diabetes-related foot conditions",Who gets diabetes? What are the risk factors?,"Risk factors for Type 1 diabetes include:  Having a family history, njury to the pancreas, Physical stress, Presence of autoantibodies, Exposure to illnesses caused by viruses .   Risk factors for prediabetes and Type 2 diabetes include: Being overweight, Having high blood pressure, Having low HDL cholesterol and high triglyceride level, Being physically inactive, Being age 45 or older, Having gestational diabetes or giving birth to a baby weighing more than 9 pounds, Having polycystic ovary syndrome., Being a smoker",diabetes
Vomiting,,,,,Sweating,,,,,,,,,,,,,,What happens if my blood glucose level is low?,"Having a blood glucose level that is lower than the normal range (usually below 70 mg/dL) is called hypoglycemia. And you might experience Weakness or shaking.Moist skin, sweating, Dizziness, Sudden hunger.",diabetes
,,,,,Fast breathing,,,,,,,,,,,,,,What happens if my blood glucose level is high?,"If you have too much glucose in your blood, you have a condition called hyperglycemia. ",diabetes
,,,,,,,,,,,,,,,,,,,What insulin medications are approved to treat diabetes?,"Rapid-acting insulins, Short-acting insulins, Intermediate-acting insulins, Long-acting insulins.",diabetes
,,,,,,,,,,,,,,,,,,,How is insulin taken? How many different ways are there to take insulin?,"Needle and syringe, Insulin pen, Insulin pump, Artificial pancreas, Insulin inhaler, Insulin injection port, Jet injector",diabetes
,,,,,,,,,,,,,,,,,,,When is it necessary to call a doctor if you have diabetes?,"If you have diabetes and your blood sugar is 300 mg/dL or higher two times in a row for an unknown reason,  If you have a low blood sugar (less than 70 mg/dL) that has not come up after three treatments",diabetes
,,,,,,,,,,,,,,,,,,,How can I treat and manage hyperglycemia?,"People with both type 1 and type 2 diabetes can manage hyperglycemia by eating healthy, being active, and managing stress.",diabetes
,,,,,,,,,,,,,,,,,,,How do I prevent hyperglycemia?,"Exercise to help lower blood sugar, Follow your meal plan if you have one, Maintain a healthy weight, Don't smoke, Limit drinking alcohol.",diabetes
,,,,,,,,,,,,,,,,,,,What is brittle diabetes?,Brittle diabetes is diabetes that's especially difficult to manage and often disrupts everyday life. People with brittle diabetes have severe swings in blood glucose (blood sugar).,diabetes
,,,,,,,,,,,,,,,,,,,How common is brittle diabetes?,"Brittle diabetes is rare. It affects only about 3 of every 1,000 people with insulin-dependent diabetes.",diabetes
,,,,,,,,,,,,,,,,,,,How can people with brittle diabetes care for themselves?,"Eat a healthy diet low in sugar and carbohydrates to lessen swings in blood glucose, Exercise regularly, Maintain a healthy weight, Take diabetes medications exactly as prescribed, Test blood glucose frequently.",diabetes
,,,,,,,,,,,,,,,,,,,When should I seek medical attention for brittle diabetes?,"Confusion or dizziness, Fast heart rate, Trouble breathing, Vomiting.",diabetes
,,,,,,,,,,,,,,,,,,,How diabetes can affect the eyes,"a persistently high blood sugar level can damage these blood vessels in 3 main stages: background retinopathy, pre-proliferative retinopathy, proliferative retinopathy",diabetes
,,,,,,,,,,,,,,,,,,,Am I at risk of diabetic retinopathy?,"if you have had diabetes for a long time, have a persistently high blood sugar (blood glucose) level, have high blood pressure, have high cholesterol, are pregnant",diabetes
,,,,,,,,,,,,,,,,,,,Type 1 diabetes in children,"Type 1 diabetes in children is a condition in which your child's body no longer produces an important hormone (insulin). Your child needs insulin to survive, so the missing insulin needs to be replaced with injections or with an insulin pump.",diabetes
,,,,,,,,,,,,,,,,,,,Type 2 diabetes in children,"Type 2 diabetes in children is a chronic disease that affects the way your child's body processes sugar (glucose) for fuel. Without treatment, the disorder causes sugar to build up in the bloodstream, which can lead to serious long-term consequences.",diabetes
,,,,,,,,,,,,,,,,,,,Type 2 diabetes in children causes?,increasing number of children with obesity has led to more cases of type 2 diabetes in younger people.,diabetes
,,,,,,,,,,,,,,,,,,,Complications of Type - 2 diabetes in children?,"Type 2 diabetes can affect nearly every organ in your child's body, including the blood vessels, nerves, eyes and kidneys. ",diabetes
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Antibiotics are beneficial in certain types of acute diarrhea, they are usually not used except in specific situations. Over the counter drug    Pepto-Bismol ( Bismuth subsalicylate ) , or anti-motility drug Imodium plus (    Loperamide hydrochloride with simethicone ) are few of medicines for diarrhea.",Drink fluids : It is important to drink plenty of fluids to avoid dehydration,,,,"IPD cases, the median out-of-pocket health expenditure for the management of one episode of diarrheal illness was Rs. 6385 (IQR: Rs. 5889) ranged from Rs. 2652Rs. 24,299",Myth 1: Diarrhea medicine will bung me up and delay my recovery from viral diarrhea,"Generally 16.8-32.0 deaths per 100,000",,Wash your hands often,"Stool studies including culture and other tests. This test checks for any abnormal bacteria in your digestive tract that may cause diarrhea and other problems. To do this, a small stool sample is taken and sent to a lab.",What is diarrhea?,"Diarrhea is an intestinal disorder characterized by abnormal fluidity and frequency of fecal evacuations, generally the result of increased motility in the colon; may be an important symptom of such underlying disorders as dysenteric diseases, lactose intolerance, GI tumors, and inflammatory bowel disease. Diarrhea is the passage of watery stools. This means body fluids and salts can be quickly lost from the body. The child becomes dry (dehydrated) and this is very dangerous and may kill the child.",diarrhea
Stomach pain,,,,,,,,,"Oral Rehydration Solution  (ORS) : ORS should be used to prevent dehydration. Standard home solutions such as salted rice water, salted yoghurt drinks, vegetable and chicken soups with salt can be given. ",,,,"CMC, Vellore, reported a figure of Rs. 6634 as cost of hospitalization for one episode of diarrhea in nonprofit referral hospital and Rs. 6071 in a private hospital. The figure for government hospitals was much less, i.e., Rs. 233",Myth 2: As soon as the diarrhea finishes I'm no longer infectious,"For Children <=5years 61.9-79.8 deaths per 100,000",,Not eating any fresh or raw fruits and vegetables unless you wash and peel them yourself,Fasting tests. These tests show if you are unable to digest certain foods (food intolerance). They can also tell if certain foods bring on an immune system reaction (food allergy).,Why is diarrhea dangerous?,"When a person gets diarrhea, the body begins to lose a lot of water and salts - both of which are necessary for life. If the water and salts are not replaced fast, the body starts to ""dry up"" or get dehydrated. Severe dehydration can cause death.

",diarrhea
Leaking stool and not being able to control your bowels (incontinence),,,,,,,,,"Medications: Antibiotics are beneficial in certain types of acute diarrhea, they are usually not used except in specific situations. Over the counter drug    Pepto-Bismol ( Bismuth subsalicylate ) , or anti-motility drug Imodium plus (    Loperamide hydrochloride with simethicone ) are few of medicines for diarrhea.",,,,,Myth 3: If I have bloody diarrhea I must have cancer,,,Eat foods that have been cleaned and cooked in a safe way,"Blood tests. These can look for metabolic problems like thyroid disease, anemia (low blood count), evidence of low vitamin levels suggesting poor absorption, and celiac disease, among other things.",What is dehydration?,"Dehydration is the loss of water and body salts through diarrhea. The human body needs water to maintain enough blood and other fluids to function properly. If your body loses substantially more fluids than you are drinking, you become dehydrated. You may lose fluids in a variety of ways:

when urinating
when you vomit or have diarrhea
when sweating
from the lungs during normal breathing.
Along with the fluids, your body also loses electrolytes, which are salts normally found in blood, other fluids, and cells.

",diarrhea
Upset stomach (nausea),,,,,,,,,Eating : WHO recommends a child with diarrhea should continue to be fed. Continued feeding speeds the recovery of normal intestinal function.,,,,,Myth 4: My viral diarrhea will stop sooner if I dont eat,,,Not take any foods or liquids that may have been infected with a bacteria or virus,Imaging tests. These tests can see if there are any problems with the way your organs are formed (structural abnormalities).,How does dehydration occur?,"The usual causes of dehydration are a lot of diarrhea and vomiting. Dehydration can also occur if you do not eat or drink much during an illness or if you do not drink enough during or after strenuous exercise. Medications that cause fluid loss to control excess body fluid (diuretics) are a common long-term cause. Although anyone can become dehydrated, those who become dehydrated the most easily are:

babies under 1 year old
the elderly
anyone who has a fever
",diarrhea
Urgent need to go to the bathroom,,,,,,,,,,,,,,Myth 5: Flat lemonade will sort out my diarrhea,,,Not drinking tap water or using it to brush your teeth,,,,diarrhea
Fever,,,,,,,,,,,,,,Fact 1: A significant proportion of diarrheal disease can be prevented through safe drinking-water and adequate sanitation and hygiene.,,,,,,,
Bloody stools,,,,,,,,,,,,,,"Fact 2: Globally, there are nearly 1.7 billion cases of childhood diarrheal disease every year.",,,,,,,
Loss of body fluids (dehydration),,,,,,,,,,,,,,Fact 3: Diarrhea is a leading cause of malnutrition in children under five years old.,,,,,,,
,,,,,,,,,,,,,,Fact 4: Dehydaration is a serious risk,,,,,,,
,,,,,,,,,,,,,,Fact 5: Drugs can cause diarrhea,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Upper RTI :Cough, Fever, Hoarse voice, Fatigue and lack of energy, Red eyes,Runny nose, Sore throat, Swollen lymph nodes (swelling on the sides of your neck)"," Upper RTI :Bronchiolitis, an infection that causes wheezing and coughing","Upper RTI :Nasal congestion, Sneezing, Mucus production",,,"Upper RTI : Loss of consciousness, High fever (higher than 103 F)",,,,Upper RTI : You can most likely treat the symptoms at home through pain relievers,,,,,,,,Upper RTI : Avoid being in close contact with people who are sick.,Upper RTI : Lung (chest) X-ray,Upper RTI : What is an upper respiratory infection?,"Upper RTI : These infections affect your sinuses and throat. Upper respiratory infections include:
Common cold.Epiglottitis.Laryngitis.Pharyngitis (sore throat).Sinusitis (sinus infection).",respiratory
"Lower RTI : Congestion or runny nose, Dry cough, Sore throat, Low-grade fever, Mild headache", Upper RTI :Common cold,Upper RTI :Coughing,,,Upper RTI : Rapid breathing or difficulty breathing,,,,Upper RTI : rest and drink fluids,,,,,,,,Upper RTI : Cover your mouth and nose if you're the one who's sick.,Upper RTI : Lung CT scan,Upper RTI : What causes upper respiratory infections?,"Upper RTI : You get an upper respiratory infection when a virus (or bacteria) enters your respiratory system. For example, you might touch an infected surface or shake hands with a person whos sick. You then touch your mouth, nose or eyes. The germs from your hands enter and infect your body.",respiratory
, Upper RTI :Croup,Upper RTI :Wheezing,,,"Upper RTI : Frequent, severe coughing",,,,"Upper RTI : If you have a bacterial infection, such as strep throat, you'll take antibiotics.",,,,,,,,Lower RTI : wash hands frequently,"Upper RTI : Nasal swab, Throat swab.",Upper RTI : Whos at risk for upper respiratory infections?,"These infections are common, and anyone can catch one. Yet certain groups of people are more at risk of catching infections. Children are at a high risk since they are often with other children who may be carrying a virus. Children may also wash their hands less frequently than adults. Plus, theyre more likely to put their fingers in their eyes, nose and mouth, allowing the germs to spread easily.
People who have heart or lung problems are also at higher risk of getting an upper respiratory infection. Those who have weak immune systems (due to another disease) may get more severe infections.",respiratory
, Upper RTI : Ear infections,Upper RTI :Throat soreness,,,Upper RTI : Wheezing and Dizziness,,,,"Lower RTI : Intravenous fluids, Humidified oxygen",,,,,,,,Lower RTI : avoiding touching the face with unwashed hands,Lower RTI : Pulse Oximetry,Upper RTI : How are upper respiratory infections diagnosed?,"Upper RTI : Your healthcare provider may diagnose the infection based on a physical exam and your symptoms. Theyll look in your nose, ears and throat and listen to your chest to examine your breathing. You often dont need other tests.
If your provider is concerned you may have a lung infection or another infection, you may need : Lung (chest) X-ray,Lung CT scan,Lung (pulmonary) function test to see how your lungs are working.Nasal swab,Throat swab.Sputum test, when you cough up some sputum (phlegm from your lungs) for examination.",respiratory
," Upper RTI : Pink eye, an eye infection",Upper RTI :Pain when swallowing,,,"Lower RTI : Fever, Severe cough, Rapid breathing or difficulty breathing, Chest pain or tightness, Wheezing",,,,Lower RTI : Ventilation support,,,,,,,,Lower RTI : staying away from people with respiratory symptoms,Lower RTI : Blood Test,Upper RTI : Are upper respiratory infections contagious?,"Upper RTI : Yes, upper respiratory infections are contagious. They pass from person to person through respiratory droplets or hand-to-hand contact. People who have an upper respiratory infection can pass it to others through:Sneezing or coughing without covering their nose and mouth. This sprays germs into the air. Other people can breathe in those germ-filled droplets.
Sneezing or coughing into their hand and then touching someone elses hand. The droplets are now on the other persons hand. When that person touches their nose, mouth or eyes, the infection enters their body.",respiratory
, Upper RTI : Sinus infection,Upper RTI :Headache,,,,,,,,,,,,,,,Lower RTI : cleaning and disinfecting surfaces regularly,Lower RTI : Laboratory Tests: a sample of sputum or mucus is taken and inspected in a laboratory for the presence of bacterial organisms.,Upper RTI : What are the symptoms of upper respiratory infections?,"Upper RTI : You may get symptoms, including:Cough,Fever,Hoarse voice,Fatigue and lack of energy,Red eyes,Runny nose,Sore throat,Swollen lymph nodes (swelling on the sides of your neck).",respiratory
, Upper RTI : Sore throat,,,,,,,,,,,,,,,,Lower RTI : getting vaccines,,Upper RTI : How long do upper respiratory infections last?,"Upper RTI : Upper respiratory infections typically last one to two weeks. Most of the time, they go away on their own. Over-the-counter pain medications can help you feel better. Make sure you drink plenty of fluids to stay hydrated.If your symptoms last longer than two weeks, talk to your healthcare provider. You may have another condition that is causing the symptoms, such as pneumonia or bronchitis.",respiratory
,,,,,,,,,,,,,,,,,Lower RTI : getting a flu shot every year,,Upper RTI : Can antibiotics treat upper respiratory infections?,"Upper RTI : Most of the time, viruses cause upper respiratory infections. Viruses dont respond to antibiotics. You can most likely treat the symptoms at home through pain relievers, rest and drinking fluids. If you have a bacterial infection, such as strep throat, youll take antibiotics. Penicillin or amoxicillin are frequently prescribed for strep throat.",respiratory
,,,,,,,,,,,,,,,,,"Lower RTI : avoiding known irritants, such as chemicals, fumes, and tobacco",,Upper RTI : When should I see a healthcare provider for an upper respiratory infection?,"Upper RTI : If you have any of these symptoms, contact your healthcare provider or seek medical help:
Loss of consciousness,High fever (higher than 103 F),Rapid breathing or difficulty breathing,Frequent, severe coughing, which may come with vomiting,Wheezing, a high-pitched whistling sound when you breathe out,Dizziness,Retractions, when you see a deeper outline of your ribcage or ribs than you normally do. (This sign may be more obvious in children).
Stridor, a harsh raspy vibrating when you breathe in that sometimes sounds like a seal. (Stridor is more common in children than adults).",respiratory
,,,,,,,,,,,,,,,,,,,Upper RTI : Is the flu an upper respiratory infection?,"Upper RTI : Influenza, or the flu, isnt considered an upper respiratory infection. Thats because its systemic  it affects more than one system in the body. It usually affects the upper and lower respiratory system. The cold and flu have similar symptoms.
",respiratory
,,,,,,,,,,,,,,,,,,,Upper RTI : Is pneumonia an upper respiratory infection?,"Upper RTI : Pneumonia is a lung infection. Symptoms can resemble those of an upper respiratory infection. You may have a severe cough that brings up phlegm (mucus), shortness of breath and chest pain. See your healthcare provider if you think you may have pneumonia.
",respiratory
,,,,,,,,,,,,,,,,,,,Upper RTI : How can I prevent upper respiratory infections?,"Upper RTI : Keep you and your family healthy. Take steps to prevent upper respiratory infections:
Practice good hygiene:
Wash hands, especially before eating or preparing food,Sneeze and cough into your arm or a tissue and wash hands after Live a healthy lifestyle:
Avoid contact with people who are sick,Drink plenty of fluids,Get enough sleep,Stop smoking, See your provider:
Keep up with routine checkups and immunizations.
Ask your provider if you should get the pneumococcal vaccine, which prevents pneumonia.
Call your healthcare provider if you have symptoms lasting longer than two weeks, a high fever or any other concern.",respiratory
,,,,,,,,,,,,,,,,,,,Upper RTI : Should I worry about an upper respiratory infection?,"Upper RTI : Most of the time, these infections go away on their own. Youll likely make a full recovery. However, some higher-risk groups should take extra precautions when it comes to upper respiratory infections. These infections can be more dangerous for:Children, especially babies,Older adults,People with immune system disordersIf you are in a high-risk group and get a cold or other respiratory infection, contact your healthcare provider.",respiratory
,,,,,,,,,,,,,,,,,,,Upper RTI : What complications can happen from upper respiratory infections?,"Upper RTI : Severe complications can include respiratory failure when theres too much carbon dioxide in your blood. The infection could also spread to other parts of your body, such as your brain or heart. If you have any concerns about your symptoms, call your healthcare provider. If you are having trouble breathing or other worrisome symptoms, call 911 or head to the nearest ER.",respiratory
,,,,,,,,,,,,,,,,,,,Lower RTI : What Is a Lower Respiratory Tract Infection?,"Lower RTI :Lower Respiratory Tract Infections (LRTI) are infections that affect the airways (below the level of the larynx), including the trachea and the alveolar sacs.",respiratory
,,,,,,,,,,,,,,,,,,,Lower RTI : Types of lower respiratory infections,"Lower RTI :Lower respiratory tract infections include:
bronchitis ,pneumonia ,bronchiolitis ,tuberculosis",respiratory
,,,,,,,,,,,,,,,,,,,Lower RTI : Causes of lower respiratory infections,"Lower RTI :The number one cause of lower respiratory tract infections are viruses that invade the respiratory tract. Bacteria are the next most common cause. 

In bronchitis, the most common viruses are influenza (the flu) and the rhinovirus (which causes the common cold). 
The most common cause of pneumonia varies by age, but it can be due to a virus or bacteria. 
The most common causes of bronchiolitis are rhinovirus, respiratory syncytial virus (RSV), and human metapneumovirus. 
More recently, SARS-CoV-2 (the virus that causes COVID-19) can cause lower respiratory tract infections and sometimes lead to pneumonia. ",respiratory
,,,,,,,,,,,,,,,,,,,Lower RTI : Symptoms of lower respiratory infections,"Common symptoms of all lower respiratory tract infections are cough, fever, and shortness of breath. Depending on the type of illness, your age, and other medical problems, these symptoms can range from mild to severe. 

The symptoms of bronchitis include cough, muscular chest pain, fatigue, and mild shortness of breath. A bronchitis cough can be dry or bring up mucus. The cough usually lasts 1-3 weeks and is the last symptom to go away. Bronchitis symptoms are often mild enough to be treated at home. But, in a person with a lung condition like asthma or COPD, it can lead to a severe illness needing hospitalization. Older age, having a weaker immune system, and smoking increase the chances of severe illness. 

The symptoms of pneumonia are fever, cough, shortness of breath, and chest pain. A viral pneumonia has a more dry cough (without mucus), and the symptoms tend to be mild to moderate. Bacterial pneumonia is more likely to cause more severe symptoms, such as fever and cough with mucus. Viral pneumonia tends to go away on its own, while bacterial pneumonia gets worse without antibiotic treatment. 

People 5 years and older can get a type of pneumonia called walking pneumonia, where symptoms are dry cough, muscle aches, and fatigue. The name walking pneumonia comes from the fact that most people have mild to moderate symptoms and are able to walk around. 

Bronchiolitis usually starts as a common cold in the first 2-3 days. Symptoms include nasal congestion, runny nose, cough, and, sometimes, a fever. On days 3-5, the illness will reach its peak severity. At this stage, a child may start breathing faster than normal, using their rib and neck muscles to breathe, and having trouble feeding and playing. If these symptoms happen, the child needs to be seen by a doctor immediately. ",respiratory
,,,,,,,,,,,,,,,,,,,Lower RTI : Diagnosing and treating lower respiratory tract infections,"Lower RTI :In most cases, lower respiratory tract infections can be diagnosed clinically. This means that a healthcare provider can make the diagnosis by asking about your symptoms and listening to your lungs. More testing or imaging is not always needed. That said, a chest X-ray may be needed to diagnose pneumonia when listening to the lungs on a physical exam may not be enough. 

In some cases, nasal swabs that detect respiratory viruses can be done to find the cause of the lower respiratory tract infection. Because viral testing is expensive and does not usually change treatment, a nasal swab is not typically done. ",respiratory
,,,,,,,,,,,,,,,,,,,Lower RTI : Lower respiratory infections vs. upper respiratory infections,"Lower RTI :The difference between lower respiratory tract infections and upper respiratory tract infections is the location of the infection and symptoms. The upper respiratory tract is made up of the nose, sinuses, throat, and voice box. Symptoms of upper respiratory tract infections include sneezing, runny nose, sore throat, and sinus pressure. Like lower respiratory infections, upper respiratory tract infections are mostly caused by viruses. ",respiratory
Fever or chills,fever,fever,shortness of breath,loss of smell,,,,Isolate yourself in a well ventilated room.,,,,supplemental oxygen,"Rs 8,000-10,000 per day (including PPE and medicines)",Heat can stop coronavirus disease,In general mortality rate of the COVID 19 was 11.5%,,"Maintain a safe distance from others (at least 1 metre), even if they don’t appear to be sick.",A viral test tells you if you are infected with SARS-CoV-2,What is Covid 19?,"COVID-19 is a disease caused by a virus called SARS-CoV-2. Most people with COVID-19 have mild symptoms, but some people become severely ill.",covid
Cough,cough,cough,fatigue,chest pain,,,,"Use a triple layer medical mask, discard mask after 8 hours of use or earlier if they become wet or visibly soiled. In the event of a caregiver entering the room, both caregiver and patient may consider using N 95 mask.",,,,assisted ventilation,"13,000-15,000 per day (including PPE and medicines, Isolation beds, ICUs without ventilators)",5G mobile networks spread coronavirus,Among critical illness studies mortality rate is 40.5%,,"Wear a mask in public, especially indoors or when physical distancing is not possible.","Rapid Point-of-Care tests, test performed or interpreted by someone other than the individual being tested, can be performed in minutes and can include antigen and some NAATs.",How does the Virus Spread?,"1.Breathing in air when close to an infected person who is exhaling small droplets and particles that contain the virus.2.Having these small droplets and particles that contain virus land on the eyes, nose, or mouth, especially through splashes and sprays like a cough or sneeze.3.Touching eyes, nose, or mouth with hands that have the virus on them.",covid
Shortness of breath or difficulty breathing,trouble breathing,difficult breathing,chills and shivers,persistent cough,,,,Mask should be discarded only after disinfecting it with 1% Sodium Hypochlorite.,,,,"require hospitalization, with treatment that might include antivirals such as remdesivir",,COVID 19 Kills,,,"Choose open, well-ventilated spaces over closed ones. Open a window if indoors.",Laboratory tests can take days to complete and include RT-PCR and other types of NAATs.,What is Community Spread?,"Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected.",covid
