Symptoms(common),Symptoms(babies/infants),Symptoms(old people),Symptoms(male),Symptoms(female),Symptoms (critical_stage),Medication (general),Medication(babies/infants),Medication(old people),Treatment(general),Treatment(babies/infants) ,Treatment(old people),Treatment(critical_stage),Expenses,Facts_or_Myths,Survival_Rate,Funding,Prevention,Diagnosis,FAQ,FAQ Answers
Heart failure: Shortness of breath,,,,,,,,,,,,,,,,,"Physical activity can help you maintain a healthy weight and lower your blood pressure, blood cholesterol, and blood sugar levels. For adults, the Surgeon General recommends 2 hours and 30 minutes of moderate-intensity exercise, like brisk walking or bicycling, every week. Children and adolescents should get 1 hour of physical activity every day.",,How can I control cholesterol content without using medicines?,"Control diet, walk and eat walnut."
 fatigue,,,,,,,,,,,,,,,,,"For more information, see CDC's Nutrition, Physical Activity, and Obesity website.",,Can yoga prevent heart ailments?,Yoga helps.
" or swelling of the feet, ankles, legs, abdomen or neck veins",,,,,,,,,,,,,,,,,"Cigarette smoking greatly increases your risk for heart disease. If you don't smoke, don't start. If you do smoke, quitting will lower your risk for heart disease. Your doctor can suggest ways to help you quit.",,Which is the best and worst food for the heart?,Fruits and vegetables are the best and the worst is oil.
 ,,,,,,,,,,,,,,,,,"For more information about tobacco use and quitting, see CDCï¿½s Smoking & Tobacco Use website.",,"Which oil is better - groundnut, sunflower, olive?",All oils are bad.
 ,,,,,,,,,,,,,,,,,"Your health care team should test your blood levels of cholesterol at least once every 4 to 6 years. If you have already been diagnosed with high cholesterol or have a family history of the condition, you may need to have your cholesterol checked more often. Talk with your health care team about this simple blood test. If you have high cholesterol, medicines and lifestyle changes can help reduce your risk for heart disease.",,What is the routine checkup one should go through? Is there any specific test?,"Routine blood test to ensure sugar, cholesterol is ok."
 ,,,,,,,,,,,,,,,,,"High blood pressure usually has no symptoms, so have it checked on a regular basis. Your health care team should measure your blood pressure at least once every 2 years if you have never had high blood pressure or other risk factors for heart disease.",,What are the first aid steps in case of a heart attack?,"Help the person into a sleeping position, place an aspirin tablet under the tongue with a sorbitrate tablet if available, and rush him to a coronary care unit since the maximum casualty takes place within the first hour."
,,,,,,,,,,,,,,,,,"If you have been diagnosed with high blood pressure, also called hypertension, your health care team will measure your blood pressure more often to make sure you have the condition under control. Talk with your health care team about how often you should check your blood pressure. You can check it at a doctorï¿½s office, at a pharmacy, or at home.",,How do you differentiate between pain caused by a heart attack and that caused due to gastric trouble?,Extremely difficult without ECG.
,,,,,,,,,,,,,,,,,"If you have high blood pressure, your health care team might recommend some changes in your lifestyle, such as lowering the sodium in your diet; your doctor may also prescribe medicine to help lower your blood pressure.",,People of about 30-40 years of age are having heart attacks and serious heart problems. What is the main cause of a steep increase in heart problems amongst youngsters?,"Increased awareness has increased incidents that are reported. The causes for this increase are sedentary lifestyles, smoking, junk food, lack of exercise in a country where people are genetically three times more vulnerable for heart attacks than Europeans and Americans."
,,,,,,,,,,,,,,,,,"If you have diabetes, monitor your blood sugar levels carefully. Talk with your health care team about treatment options. Your doctor may recommend certain lifestyle changes to help keep your blood sugar under control. These actions will help reduce your risk for heart disease.",,Is it possible for a person to have BP outside the normal range of 120/80 and yet be perfectly healthy?,Yes.
,,,,,,,,,,,,,,,,,"If you take medicine to treat high blood cholesterol, high blood pressure, or diabetes, follow your doctorï¿½s instructions carefully. Always ask questions if you donï¿½t understand something. Never stop taking your medicine without first talking to your doctor, nurse, or pharmacist.",,Marriages within close relatives can lead to heart problems for the child. Is it true?,"Yes, co-sanguinity leads to congenital abnormalities."
,,,,,,,,,,,,,,,,,"You and your health care team can work together to prevent or treat the medical conditions that lead to heart disease. Discuss your treatment plan regularly, and bring a list of questions to your appointments. Talk with your health care team about how heart disease and mental health disorders are related.",,Many of us have an irregular daily routine and many a times we have to stay late nights in office. Does this affect our heart? What precautions would you recommend?,"When you are young; nature protects you against all these irregularities. However, as you grow older, respect the biological clock."
,,,,,,,,,,,,,,,,,"If youï¿½ve already had a heart attack, your health care team will work with you to prevent another one. Your treatment plan may include medicines or surgery and lifestyle changes to reduce your risk. Be sure to take your medicines as directed and follow your doctorï¿½s instructions.",,"Will taking anti-hypertensive drugs cause some other complications (short/long term)?
","Yes, most drugs have some side effects. However, modern anti-hypertensive drugs are extremely safe."
,,,,,,,,,,,,,,,,,,,Will consuming more coffee/tea lead to heart attacks?,No
,,,,,,,,,,,,,,,,,,,Are asthma patients more prone to heart disease?,No
,,,,,,,,,,,,,,,,,,,How would you define junk food?,"Fried food like Kentucky, McDonalds, samosas, and even masala dosas.
"
,,,,,,,,,,,,,,,,,,,"You mentioned that Indians are three times more vulnerable. What is the reason for this, as Europeans and Americans also eat a lot of junk food?","Every race is vulnerable to some disease and unfortunately, Indians are vulnerable for the most expensive disease."
,,,,,,,,,,,,,,,,,,,Does consuming bananas help reduce hypertension?,No
,,,,,,,,,,,,,,,,,,,Can a person help himself during a heart attack (Because we see a lot of forwarded emails on this)?," Yes. Lie down comfortably and put an aspirin tablet of any description under the tongue and ask someone to take you to the nearest coronary care unit without any delay and do not wait for the ambulance since most of the time, the ambulance does not turn up."
,,,,,,,,,,,,,,,,,,,"Do low white blood cells and low hemoglobin count, in any way, lead to heart problems?
",No. But it is ideal to have normal hemoglobin level to increase your exercise capacity.
,,,,,,,,,,,,,,,,,,,"Sometimes, due to the hectic schedule we are not able to exercise. So, does walking while doing daily chores at home or climbing the stairs in the house, work as a substitute for exercise?",Certainly. Avoid sitting continuously for more than half an hour and even the act of getting out of the chair and going to another chair and sitting helps a lot.
,,,,,,,,,,,,,,,,,,,Is there a relation between heart problems and blood sugar?,"Yes. A strong relationship, since diabetics are more vulnerable to heart attacks than non-diabetics."
,,,,,,,,,,,,,,,,,,,What are the things one needs to take care of after a heart operation?,"Diet, exercise, drugs on time, and control cholesterol, BP and weight."
,,,,,,,,,,,,,,,,,,,Are people working on night shifts more vulnerable to heart disease when compared to day shift workers?,No
,,,,,,,,,,,,,,,,,,,What are the modern anti-hypertensive drugs?,"There are hundreds of drugs and your doctor will chose the right combination for your problem, but my suggestion is to avoid the drugs and go for natural ways of controlling blood pressure by walking, dieting to reduce weight and changing attitudes towards lifestyles."
,,,,,,,,,,,,,,,,,,,Does disprin or similar headache pills increase the risk of heart attacks?,No
